#TAG,NAME IN REPO, PURPOSE (Should be a verb phrase to sound right while installing)
,waybar,"is the statusbar."
,hyprland,"is the window manager."
,hyprlock,"is a screenlock utility."
,hyprpicker,"is a color fetcher."
,hyprpaper,"is the wallpaper utility for Hyprland."
,grim,"takes screenshots."
,slurp,"selects screenshots."
,wf-recorder,"is a simple screenrecorder."
,udiskie,"is for automatic mounting of drives."
,vimiv,"is an image viewer."
,xdg-desktop-portal-hyprland,"is for getting screensharing to work."
,qt5-wayland,"is a dependency for XDPH."
A,qt5-styleplugins,"is a plugin for qt5."
,qt6-wayland,"is a dependency for XDPH."
,qt5ct,"is a qt-theme tool."
,qt6ct,"is a qt-theme tool."
,nwg-look,"is a gtk theme tool."
,adw-gtk-theme,"is a gtk theme."
A,qt6gtk2,"is gtk integration for qt6."
,gnome-themes-extra,"is a dependency of the gtk theme."
,gtk-engine-murrine,"is a dependency of the gtk theme."
,rofi,"is a program launcher/menu."
,wl-clipboard,"is a copy/paste tool."
,ttf-firacode-nerd,"is the best nerd font."
,ttf-jetbrains-mono-nerd,"provides mono spaced awesomeness."
,noto-fonts-emoji,"google emojis, a dependency for icons in starship prompt."
,starship,"is a blazingly fast prompt powered by rust."
,yazi,"is a terminal file manager."
,nautilus,"is gnomes file manager."
,kitty,"is a cat driven terminal and dependency for lf previews... strange, yes."
,trash-cli,"is a trashcan for deleted files."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT-drives."
,polkit,"manages user policies."
,hyprpolkitagent,"is an authentication agent."
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features."
A,visual-studio-code-bin,"is everyones favorite IDE."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video player."
,ncmpcpp, "a ncurses interface for music with multiple formats and a powerful tag editor."
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,firefox,"is for muh browsing privacy."
A,zen-browser-bin,"is for a zen browsing experience"
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,unzip,"unzips zip's."
,zip,"zips zip's."
,evince,"is the pdf viewer."
,fzf,"is a fuzzy finder tool."
,qbittorrent,"is a torrent client."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
,btop,"is a task manager."
,bat,"is a cat clone with syntax highlighting and Git integration."
,exa,"is a modern replacement for ls."
,chezmoi,"is a dotfiles management tool."
,moreutils,"is a collection of useful unix tools."
,brightnessctl,"is for setting screen brightness."
,iio-sensor-proxy,"enables sensors for laptops."
A,iio-hyprland-git,"makes iio work on hyprland."
A,wev,"prints key and mouse event info, just like xev."
,git,"dependency of mason."
,curl,"dependency of mason."
,wget,"dependency of mason."
,tar,"dependency of mason."
,gzip,"dependency of mason."
,ripgrep,"dependency of telescope."
,fd,"dependency of telescope."
,lazygit,"is for nvim git integration."
,iio-sensor-proxy,"is a fix for tablet mode."
,libreoffice-fresh-en-gb,"is for opening docx documents."
,pacman-contrib,"is for checking updates for pacman (dependency of waybar module pacman)."
